	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	Results.BasalvsLP	Results.BasalvsML	Results.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
76982	-0.957688378361825	-0.308987752917832	0.565927050740004	0.874914803657836	0	0	0	0.943230723696651	0.837255581143816	0.618012583879899	0	0	0	76982	Vxn	chr1
17864	3.15117765298934	0.843161545226729	1.3112587741429	0.468097228916174	0	1.39243513209245	0	0.751317026156249	0.0998349387655489	0.976947299179572	0	0	0	17864	Mybl1	chr1
70675	6.09896219526204	-0.342840600467014	-0.0416854643652433	0.30115513610177	0	0	0	0.998738136266536	0.999951342490082	0.999427322541153	0	0	0	70675	Vcpip1	chr1
170755	2.97811461061281	1.55922153814218	0.362600647435335	-1.19662089070685	2.74190787828931	0	-0.987627691461944	0.0121645070719311	0.996165142635305	0.175511350639285	0	0	0	170755	Sgk3	chr1
620986	1.87477273214897	1.11338228519903	0.0798116311193495	-1.03357065407968	0.565891835968159	0	-0.172561323319801	0.293158875988586	0.999726116133407	0.433550116376881	0	0	0	620986	NA	NA
73824	3.54358945805452	0.35518443153353	0.197736251031962	-0.157448180501568	0	0	0	0.998439471975866	0.999687037781232	0.999782816988367	0	0	0	73824	Snhg6	chr1
266793	-1.60676965080987	1.20277280830075	1.25212579854789	0.0493529902471388	0.264512000429242	0.337007311869738	0	0.408776859304614	0.380181149730863	0.978799546374557	0	0	0	266793	Snord87	chr1
100038398	-0.440104919479042	0.923888963995994	0.786383116913949	-0.137505847082044	0	0	0	0.57739949930008	0.715957705500909	0.982479014142228	0	0	0	100038398	NA	NA
26754	6.0246279543947	0.042784573929409	-0.172782980196517	-0.215567554125926	0	0	0	0.999990650663816	0.999948224763909	0.999950033059732	0	0	0	26754	Cops5	chr1
211660	4.7407295852702	-0.370560719161083	-0.0359047277282238	0.334655991432859	0	0	0	0.985971517306998	0.999422131000196	0.991062041353476	0	0	0	211660	Cspp1	chr1
211673	7.70188993734151	-0.429877022497417	-0.260669413888189	0.169207608609228	0	0	0	0.995576863345326	0.998986800908686	0.9997296888494	0	0	0	211673	Arfgef1	chr1
329093	-2.18166221616582	7.52478892218405	10.1102571467514	2.58546822456737	15.3800210119798	19.4410289738303	3.06989779725088	1.10196135971178e-07	1.74803529285174e-08	0.00731906910874276	1	1	0	329093	Cpa6	chr1
109294	2.09369114282939	1.00667472168208	0.754076949880081	-0.252597771802	0.0124266467569731	0	0	0.497834472538259	0.682279261302958	0.924191095022132	0	0	0	109294	Prex2	chr1
320492	-3.42490475290431	5.19382329378678	4.03395624007147	-1.15986705371532	5.61247645796583	4.27747840592608	-0.195230378192407	0.000226681771563966	0.00125583649102436	0.439281754539534	1	1	0	320492	A830018L16Rik	chr1
240725	2.79026218954488	3.46024082962733	4.14803596123186	0.687795131604528	9.07872103706043	11.3573972990138	0	6.51844340212285e-06	1.14820589426352e-06	0.837374195459238	1	1	0	240725	Sulf1	chr1
240726	-1.45277199959808	0.677681355964154	1.15837390224266	0.480692546278501	0	0.36595177944227	0	0.7649419308381	0.362205964626938	0.870046177370959	0	0	0	240726	Slco5a1	chr1
383491	-2.20823149838043	0.048814498288438	0.766138760912482	0.717324262624044	0	0	0	0.986729657957006	0.667444071960587	0.701167757889282	0	0	0	383491	Prdm14	chr1
17978	7.17017091211131	-0.259876297384038	-0.403337400137854	-0.143461102753816	0	0	0	0.999899759009443	0.999549761761432	0.999981588286869	0	0	0	17978	Ncoa2	chr1
72265	7.21714901167733	-1.04765404112743	-0.595595572899977	0.452058468227457	-0.38588373497486	0	0	0.354602948114945	0.994729808550359	0.999377889253307	0	0	0	72265	Tram1	chr1
212442	3.68285452555973	-1.13939299148471	-1.93520651048991	-0.795813519005208	-0.70284419013417	-4.91556905213052	0	0.250616319979377	0.000512942707858333	0.862467278353753	0	-1	0	212442	Lactb2	chr1
14048	-0.317109014981425	6.56293911480165	7.58083780542016	1.01789869061851	9.28754936239581	10.4270528546697	0.0252499856720499	5.91039698226064e-06	2.47632064919622e-06	0.500534601740587	1	1	0	14048	Eya1	chr1
17681	-0.409004343132423	-3.10061630307689	-5.20797708655192	-2.10736078347503	-4.30715445744255	-9.02352491763011	-3.32210248937637	0.0011772283378994	7.08840771896999e-06	0.00493351338641568	-1	-1	0	17681	Msc	chr1
21749	3.37773413770037	0.484380903789376	0.258775216498419	-0.225605687290957	0	0	0	0.994355282033976	0.999434295956732	0.999550149355815	0	0	0	21749	Terf1	chr1
226866	1.46826632907038	6.97778506596041	7.14649675741954	0.168711691459123	16.0555381676475	17.5312374948027	0	7.64301298979217e-08	3.74817439440286e-08	0.971687826094992	1	1	0	226866	Sbspon	chr1
19989	8.83109929126367	-0.00134784153415346	0.306502118532867	0.307849960067021	0	0	0	0.999999598441222	0.999732607970163	0.999857112206724	0	0	0	19989	Rpl7	chr1
98711	5.54484376670715	0.36048010390714	0.649235171568806	0.288755067661667	0	0	0	0.993961257602054	0.941502399900056	0.997403784325245	0	0	0	98711	Rdh10	chr1
29819	4.52272768981464	0.0027873371607221	0.256152125474615	0.253364788313893	0	0	0	0.999999167555982	0.999838085361165	0.999874030529554	0	0	0	29819	Stau2	chr1
66799	4.47204386973968	0.573225924349898	0.594055798326921	0.0208298739770232	0	0	0	0.992640897210011	0.991326982773298	0.999990293811096	0	0	0	66799	Ube2w	chr1
67923	5.6531794686532	0.940232011097984	0.672593568837867	-0.267638442260116	0	0	0	0.659765482278823	0.978025301475458	0.999763769490368	0	0	0	67923	Eloc	chr1
70397	4.08855801576597	0.844098301984847	0.339790576585003	-0.504307725399844	0	0	0	0.847978900433609	0.999445211595311	0.996719780109437	0	0	0	70397	Tmem70	chr1
17087	1.39630226298357	-2.00076310964942	-1.36545701318169	0.635306096467725	-4.20200620162026	-1.51801948699861	0	0.00135123951799457	0.0829192247608128	0.938464378403632	-1	0	0	17087	Ly96	chr1
57339	1.87944628908817	0.127736001283534	1.68951207825025	1.56177607696672	0	3.57806720047251	2.95669379695846	0.999623052359647	0.00334623833547755	0.00867604554627353	0	1	0	57339	Jph1	chr1
94227	2.01597969627162	4.04195587782034	5.07341578110141	1.03145990328107	4.23316395601039	5.33171390920669	0.0378733459998347	0.00133725249718244	0.00031933409439322	0.504805099445824	1	1	0	94227	Pi15	chr1
83691	2.29382042363054	4.58022476104648	6.27918956312818	1.69896480208171	10.600346748795	13.5810703738037	1.70706257021203	1.9958617001278e-06	2.90446024161672e-07	0.0623311059720607	1	1	0	83691	Crispld1	chr1
21419	6.3015822943192	0.364879981242298	-0.192233925042849	-0.557113906285148	0	0	0	0.997411337109957	0.999430910478172	0.988961286187806	0	0	0	21419	Tfap2b	chr1
241035	-3.32466143340713	-3.05475172435427	-4.2373243981805	-1.18257267382623	-2.50078645136684	-4.08320678592124	-0.269649807815037	0.0183309172638006	0.00166725140528828	0.402711698292004	0	-1	0	241035	Pkhd1	chr1
17215	4.93782385630242	2.12821570263566	1.52968332582108	-0.598532376814579	4.26433013671975	2.08215854175482	0	0.00123832449779271	0.0346739804541008	0.924092161911685	1	0	0	17215	Mcm3	chr1
74229	1.60111149432952	2.32811596656592	1.13770340223004	-1.19041256433587	5.22114197845163	0.615604763205321	-0.747939756380216	0.000346863147154706	0.277264769908432	0.237501192947244	1	0	0	74229	Paqr8	chr1
71877	1.31233745973557	1.28167854997976	0.955709650083463	-0.325968899896301	1.30553044307223	0	0	0.113227152590638	0.582768564198773	0.993295819795697	0	0	0	71877	Efhc1	chr1
170829	2.43544305828866	-0.0831551049023447	0.699252688679986	0.782407793582331	0	0	0	0.998931504663306	0.882953514735824	0.815153315107724	0	0	0	170829	Tram2	chr1
75712	1.07600313323148	1.16225849342316	0.281964821275746	-0.880293672147411	0.670772848429177	0	0	0.260227569611338	0.994544567275951	0.686799121729992	0	0	0	75712	Tmem14a	chr1
14859	-2.15057870868519	-0.750855005183586	-0.504726695367959	0.246128309815627	0	0	0	0.716665373430829	0.86851516513663	0.960617610440212	0	0	0	14859	Gsta3	chr1
226922	0.380702688245004	7.23549410996014	8.02256556101639	0.787071451056255	13.7705657289487	15.1705568580841	0	2.67271987125335e-07	1.25016646367231e-07	0.656036156052409	1	1	0	226922	Kcnq5	chr1
116837	-3.97718338799646	3.31368195689281	5.48611634007552	2.1724343831827	4.85580459301512	9.30818875058456	2.20648259892143	0.00056119334979973	5.62423978036038e-06	0.0286124317292959	1	1	0	116837	Rims1	chr1
70155	5.58525843555911	-3.60742978295497	-1.37904937087347	2.22838041208151	-9.31954274116411	-1.34861830038468	4.81683079307757	5.34010595358155e-06	0.106415672505621	0.000584266345432847	-1	0	1	70155	Ogfrl1	chr1
280645	1.76834718394527	-0.451449500487983	0.150997801240908	0.602447301728891	0	0	0	0.889999730061516	0.972843891411683	0.821540791484448	0	0	0	280645	B3gat2	chr1
98366	4.86861665591796	0.685715080994131	0.55953715220723	-0.126177928786902	0	0	0	0.985023515958439	0.997318704900761	0.999976907370274	0	0	0	98366	Smap1	chr1
68002	2.19958509394394	0.867027467323009	-0.519232055326397	-1.38625952264941	0	0	-1.45033436545518	0.676172370146859	0.954688645623005	0.0916970255999145	0	0	0	68002	Sdhaf4	chr1
68187	5.18837126735896	0.478994481307994	0.552709635838665	0.07371515453067	0	0	0	0.980861552812584	0.967600062329947	0.999495104421434	0	0	0	68187	Fam135a	chr1
12839	5.97696463987935	-1.54617063579491	0.525093398091397	2.0712640338863	-1.75346601515552	0	3.61286615561664	0.0579860951740375	0.916693451406867	0.00317879220658614	0	0	0	12839	Col9a1	chr1
12823	-2.70244594965291	-1.54863188253424	0.605370887473577	2.15400277000782	-1.16462436455963	0	2.43954287604792	0.138417016466175	0.775057297484266	0.0197194796056887	0	0	0	12823	Col19a1	chr1
68421	6.22337271217538	-0.978258270703053	-0.682241780022451	0.296016490680603	0	0	0	0.57198956456955	0.987678332839828	0.999922612001901	0	0	0	68421	Lmbrd1	chr1
665903	1.98106824260581	1.42807941608023	1.17453987688253	-0.253539539197701	2.01048319870871	0.861418551663908	0	0.0388228159765491	0.206502668589973	0.996073721843282	0	0	0	665903	Gm7846	NA
213109	7.24825913919738	-0.552780767944978	-0.411597450220759	0.141183317724219	0	0	0	0.996423070343151	0.999262202458187	0.999970821961246	0	0	0	213109	Phf3	chr1
19243	6.19110012627585	-0.349952066487218	0.285527044207385	0.635479110694604	0	0	0	0.998612412115858	0.999215172102157	0.982209296911756	0	0	0	19243	Ptp4a1	chr1
624262	-1.88210224033404	0.273816675533433	0.691132000598039	0.417315325064606	0	0	0	0.936583639292101	0.741600982361097	0.88726895119281	0	0	0	624262	Alyreffm2	NA
170771	-4.16844701185314	5.71785161665063	5.52417757222241	-0.19367404442822	8.73755014088742	8.37886215922059	0	9.20650122129203e-06	1.25956240697277e-05	0.931058420804216	1	1	0	170771	Khdrbs2	chr1
19076	4.06371199837114	1.08903294165092	0.964292061627618	-0.124740880023298	0.480153109245803	0	0	0.321709010971531	0.575963000124011	0.999498050172391	0	0	0	19076	Prim2	chr1
67503	-2.13101099537965	0.252540343716447	0.320357218461595	0.0678168747451484	0	0	0	0.960050537487428	0.948163564305191	0.991050513756603	0	0	0	67503	1700001G17Rik	chr1
19335	3.4274272671915	0.82901486929396	0.339927053548446	-0.489087815745513	0	0	0	0.82252928723187	0.998172095112711	0.991733426745085	0	0	0	19335	Rab23	chr1
213539	4.68834484852067	0.991620707022751	0.90286653510845	-0.0887541719143004	0	0	0	0.52195777951752	0.739667072967522	0.9999306309738	0	0	0	213539	Bag2	chr1
98403	4.77463906987043	-0.484177586240397	0.192685998367036	0.676863584607433	0	0	0	0.975504143246747	0.99687328751669	0.914001125609312	0	0	0	98403	Zfp451	chr1
433287	3.13745534753996	0.501603427913989	0.206911304254569	-0.29469212365942	0	0	0	0.994993699410034	0.999766416817552	0.999412121574112	0	0	0	433287	Gm15455	chr1
320705	-2.12339391205935	-0.671235259866834	-0.234312836911889	0.436922422954945	0	0	0	0.771134625312139	0.954882593861218	0.902342432502208	0	0	0	320705	Bend6	chr1
13518	9.93455633885051	1.61870698789418	0.696262702817478	-0.922444285076702	3.03612321875592	0	0	0.00766399951875124	0.910040087379914	0.659184247326786	1	0	0	13518	Dst	chr1
69668	3.17739835587059	-0.409513526854905	-0.11463206897115	0.294881457883755	0	0	0	0.997069196612379	0.999805665765319	0.999152428611453	0	0	0	69668	Ccdc115	chr1
27993	5.26375482507861	-0.0371879971655922	0.0195936308704043	0.0567816280359965	0	0	0	0.999991294248588	0.999995649155208	0.999990728592747	0	0	0	27993	Imp4	chr1
52318	4.07486924248046	-0.413749614653268	-0.311530644753252	0.102218969900017	0	0	0	0.997981491690696	0.99927715409456	0.99992458685159	0	0	0	52318	D1Ertd448e	NA
19253	4.1284341981843	-5.64637161562172	-4.59109132132991	1.05528029429181	-27.8473012575619	-21.4456010825187	0.478931220747387	7.92014295749757e-10	6.69464188098132e-09	0.322124569784617	-1	-1	0	19253	Ptpn18	chr1
21755	-3.87527444669636	-6.58698258728676	-3.75898578264258	2.82799680464417	-11.7351997089479	-5.3843184088273	4.56422033443835	9.4377906557953e-07	0.000287990264514066	0.000822865361625006	-1	-1	1	21755	Prss39	chr1
226970	2.64570515494597	1.92195092365331	2.47972326426208	0.557772340608764	4.80546108370057	7.56329234243087	0	0.000592727362463318	2.56564058101805e-05	0.96871969370055	1	1	0	226970	Arhgef4	chr1
214469	7.91713663638526	0.293413467067532	0.384682099205885	0.0912686321383527	0	0	0	0.999695963631702	0.999237998276744	0.999979367911855	0	0	0	214469	Fam168b	chr1
226971	5.96366166491646	-0.651519214659576	-1.95465995241147	-1.30314073775189	0	-5.70817248649631	-1.93279352129616	0.964947273708693	0.00019058797125673	0.0438612323514419	0	-1	0	226971	Plekhb2	chr1
50785	7.29926123913498	-0.287126125381067	0.717317100856051	1.00444322623712	0	0	0.0253159020785818	0.997364589898208	0.912809430671382	0.490199154528543	0	0	0	50785	Hs6st1	chr1
320011	7.38626481808835	0.353734640203688	-0.183312089601571	-0.537046729805258	0	0	0	0.999664825745085	0.999933239452287	0.998358212261007	0	0	0	320011	Uggt1	chr1
214854	0.24603727932485	1.29622285359341	1.03328251560089	-0.262940337992522	0.736088946451038	0.0864216778769338	0	0.241087341934811	0.466903358049986	0.954477574508327	0	0	0	214854	Neurl3	chr1
214855	7.90520254550224	1.44557752348069	0.847908430582455	-0.597669092898231	2.41684451314792	0	0	0.020378375830173	0.782015287940061	0.979644350269633	0	0	0	214855	Arid5a	chr1
226976	6.73011808473856	-0.448867225811567	-0.22553990780652	0.223327318005047	0	0	0	0.998143397037115	0.999787108648365	0.999873731450405	0	0	0	226976	Kansl3	chr1
214895	4.85969280952185	-0.691063513082717	-1.40062285993082	-0.709559346848101	0	-3.36120251654563	0	0.983045783531575	0.00464280772651554	0.984367283509881	0	-1	0	214895	Lman2l	chr1
94220	5.49127756785675	0.253755474344247	0.717973395872157	0.46421792152791	0	0	0	0.998990785296311	0.932390856521371	0.994962944999569	0	0	0	94220	Cnnm4	chr1
94218	4.11209804178475	-0.771358386957533	-0.996234815778169	-0.224876428820636	0	0	0	0.856357263067486	0.507393625224615	0.998646773266821	0	0	0	94218	Cnnm3	chr1
78321	2.68117721747151	-0.177627400474647	-0.844502221800268	-0.666874821325621	0	0	0	0.997175710025693	0.754707755459401	0.923685167498888	0	0	0	78321	Ankrd23	chr1
109346	2.66848784777511	0.0618252108108086	-0.717542481452683	-0.779367692263492	0	0	0	0.999885189000439	0.947718595022219	0.904926889558716	0	0	0	109346	Ankrd39	chr1
20353	7.87216184838518	-0.199745711078005	-1.34931441231386	-1.14956870123586	0	-1.79185382238895	-0.832379766130426	0.998732363624535	0.0546333733976391	0.214151681267086	0	0	0	20353	Sema4c	chr1
381337	0.777171506679828	0.206769096031286	-0.814235915674631	-1.02100501170592	0	0	-0.0779663495565381	0.989317336519571	0.748130048235109	0.469870457383827	0	0	0	381337	Fam178b	chr1
12859	3.58025294881036	0.279911337953286	-0.249273240907959	-0.529184578861245	0	0	0	0.998343005823315	0.999045131353631	0.988238855243916	0	0	0	12859	Cox5b	chr1
226977	6.66619942818305	0.440360609246459	0.268406441292605	-0.171954167953854	0	0	0	0.999499519249123	0.999918962931593	0.999982537322334	0	0	0	226977	Actr1b	chr1
71166	-2.72354008623971	1.38922064794786	1.52198408882881	0.13276344088095	0.650393131788382	0.888593469201277	0	0.26826059911862	0.200706270959914	0.953326577483286	0	0	0	71166	4933424G06Rik	chr1
22637	-2.8355281544531	1.78981955707184	2.69062650342887	0.900806946357029	1.15161257598693	2.33376080262617	0	0.142288895658149	0.0236649029391109	0.56794340239537	0	0	0	22637	Zap70	chr1
56030	6.98955494782712	0.439031520108514	0.374289892080176	-0.0647416280283375	0	0	0	0.999340624518902	0.999670017422962	0.999993571652963	0	0	0	56030	Tmem131	chr1
70853	-2.85594547879024	1.76205776087888	0.28383990335269	-1.47821785752619	1.12654520102532	0	-0.732424418778014	0.147194882983262	0.900972746746163	0.244379428610179	0	0	0	70853	Vwa3b	chr1
12790	-2.88808959515316	3.92693097622673	3.33751848450044	-0.589412491726292	4.862577423719	4.28572614817502	0	0.000563884249161281	0.00121865302505714	0.749474331426802	1	1	0	12790	Cnga3	chr1
269180	4.79583200949589	0.571669320056459	1.06906657380888	0.497397253752425	0	0.423331250830055	0	0.985775095042179	0.341361170462198	0.993707389954878	0	0	0	269180	Inpp4a	chr1
76178	6.24673057369396	-0.830994089277769	-1.10797250246379	-0.276978413186023	0	-0.713737158134748	0	0.852982344043894	0.247403566698152	0.999614070906041	0	0	0	76178	Coa5	chr1
67387	4.54083718108096	-0.308552743573566	-0.677320088026132	-0.368767344452566	0	0	0	0.99950518759464	0.977723649360566	0.999401298950843	0	0	0	67387	Unc50	chr1
269181	6.13485254472951	-2.40504680147709	-0.418043239309134	1.98700356216796	-8.14148724013714	0	6.08617483269475	1.48010594122076e-05	0.99546902286505	0.000122476479243491	-1	0	1	269181	Mgat4a	chr1
77633	2.65878744775256	0.0674862501888964	0.353651203863062	0.286164953674166	0	0	0	0.999540893576551	0.99398487120004	0.996552348555555	0	0	0	77633	4930594C11Rik	chr1
72097	3.62694932579288	-5.68342180057235	-4.98090765948297	0.702514141089382	-17.84731487836	-15.1339149289893	0	3.10547730747051e-08	1.16916820203413e-07	0.941640664098715	-1	-1	0	72097	Cracdl	chr1
211484	1.12712336930707	-1.1943544067903	-1.11183518549415	0.0825192212961536	-0.795444931382591	-0.463587806590694	0	0.224167670037448	0.327388477476959	0.999042660495694	0	0	0	211484	Tsga10	chr1
623661	0.937430546199714	-0.49796647153901	-0.494488178301095	0.00347829323791471	0	0	0	0.954148714292759	0.957326051534249	0.999929219417148	0	0	0	623661	Lipt1	chr1
69028	2.77725918789426	0.97405445958415	0.52763686638267	-0.44641759320148	0	0	0	0.556857500712449	0.989492147003564	0.993991219956286	0	0	0	69028	Mitd1	chr1
107734	4.4243814708161	0.62506065449516	0.11824252187689	-0.50681813261827	0	0	0	0.987916821718924	0.999949203412462	0.997464330621112	0	0	0	107734	Mrpl30	chr1
98258	5.72946798593037	-0.767163795999275	-0.454515828704335	0.312647967294939	0	0	0	0.942467050801195	0.998480391034091	0.999765932040029	0	0	0	98258	Txndc9	chr1
226982	7.52425073750667	-0.488839700452896	0.138723674662431	0.627563375115328	0	0	0	0.975400104589878	0.998249264281972	0.94745840495753	0	0	0	226982	Eif5b	chr1
56210	4.47100957572727	-0.0970060341082162	0.302367427542961	0.399373461651177	0	0	0	0.998321736178857	0.99107626645393	0.984786265835091	0	0	0	56210	Rev1	chr1
16764	1.01323572271911	3.46218161340246	4.7800436446746	1.31786203127214	5.96662057282993	8.44260546891801	0.656839485991156	0.000142214575704877	1.16488644786798e-05	0.265068011621119	1	1	0	16764	Aff3	chr1
98388	-0.248997981379606	0.245178188415351	0.968054571527539	0.722876383112187	0	0	0	0.965193845873626	0.53190763553668	0.751412316035406	0	0	0	98388	Chst10	chr1
68833	5.92499119234781	0.461574406009676	0.182877509871785	-0.278696896137891	0	0	0	0.998709309728963	0.999925710969093	0.999875268233592	0	0	0	68833	Pdcl3	chr1
18143	2.42196032859695	-5.07111045301114	-3.90050454253847	1.17060591047267	-17.8231205546232	-12.5170150308531	1.07234033580107	3.0913785230596e-08	5.27638288850475e-07	0.156753792229388	-1	-1	0	18143	Npas2	chr1
114641	3.36464267081945	-0.0561903127845329	-0.0755943962671166	-0.0194040834825837	0	0	0	0.999947479870628	0.99993669900775	0.999986022604082	0	0	0	114641	Rpl31	chr1
54610	5.50508250834757	-2.16479481945168	-1.97738234414068	0.187412475311	-9.58870050039773	-8.04883486701964	0	4.24183961188863e-06	1.61180586060268e-05	0.999970886486268	-1	-1	0	54610	Tbc1d8	chr1
52846	4.61052091732572	1.05136991241075	1.00458726475406	-0.0467826476566975	0.363695922399145	0.0331125704322988	0	0.362550243978924	0.487180578875487	0.999974431640663	0	0	0	52846	Cnot11	chr1
100217461	-0.500863305989073	0.494189285180259	1.92559893051939	1.43140964533913	0	2.12660618368744	0.979480714211598	0.880307801391019	0.0323772670536161	0.177638869805892	0	0	0	100217461	Snord89	chr1
67702	6.79702227426977	0.460973554123852	1.24724008812485	0.786266534001001	0	1.20522309082252	0	0.985450520199091	0.130542073986131	0.855630295560278	0	0	0	67702	Rnf149	chr1
263764	-2.91594507267996	4.59787775275405	6.52102785187081	1.92315009911676	6.42827305373085	9.01059756471059	1.3796696461189	8.6412442877462e-05	7.45365775423071e-06	0.102780175912398	1	1	0	263764	Creg2	chr1
26921	7.90831494733935	0.232677305586749	0.736354012308976	0.503676706722226	0	0	0	0.999345160801292	0.928705872448979	0.995268836881962	0	0	0	26921	Map4k4	chr1
16178	-0.326868410594557	-0.990079929415137	0.128965092254707	1.11904502166984	0	0	0.170181096608885	0.517687770495707	0.946202930800255	0.442200327172551	0	0	0	16178	Il1r2	chr1
16177	4.83679066192396	-1.73851273515757	-2.05972444818384	-0.321211713026271	-3.48781276064426	-5.05961732615101	0	0.0038323548499338	0.00042574031370846	0.996814518503264	-1	-1	0	16177	Il1r1	chr1
107527	3.17281093598391	0.869060683475361	0.951902917396708	0.0828422339213466	0	0	0	0.803346751927176	0.627785403690107	0.999930075472252	0	0	0	107527	Il1rl2	chr1
17082	0.109153070662385	1.29434129943853	2.23882515020256	0.944483850764027	0.567547236963087	2.32649176843204	0	0.2936109997128	0.0236514333671799	0.542510155370398	0	0	0	17082	Il1rl1	chr1
16182	3.7677549988477	-3.20665685842708	-4.01720829902313	-0.810551440596047	-9.15056329390979	-12.7459333309094	0	6.11748656603991e-06	4.57335189028677e-07	0.833946692845146	-1	-1	0	16182	Il18r1	chr1
16174	-0.194468518658101	-3.11846290060353	-2.73730314714806	0.381159753455466	-4.36135862233884	-3.58214564844063	0	0.00109191152124853	0.00334797173893936	0.931137035576686	-1	-1	0	16174	Il18rap	chr1
110895	-1.06236789491975	-3.77185531946991	-1.40408965745481	2.3677656620151	-5.49555083443594	-0.730323315530921	3.02358795212243	0.00025111150757938	0.243669999817015	0.00784359695628236	-1	0	0	110895	Slc9a4	chr1
226999	0.925328904982556	-2.78259722134004	-1.15155971423299	1.63103750710705	-6.38978091316982	-0.512811290015849	2.49876943917615	8.72540220914212e-05	0.310703698646328	0.0178903610726373	-1	0	0	226999	Slc9a2	chr1
211798	1.33803163105207	-0.921894023278619	-0.800503760514674	0.121390262763944	0	0	0	0.6045308206071	0.74946771246054	0.996233003056077	0	0	0	211798	Mfsd9	chr1
381339	-3.31175158298043	4.4243291551949	3.06327818377047	-1.36105097142443	5.13887459239919	3.33557803809291	-0.507205503333569	0.000399376308847572	0.00489930070957344	0.317518788106678	1	1	0	381339	Tmem182	chr1
69527	4.77524102595108	-0.0225765894276	-0.227749376771761	-0.205172787344161	0	0	0	0.999992951581056	0.999884507468651	0.999928517258262	0	0	0	69527	Mrps9	chr1
73122	5.04638855242647	-0.475225584834979	-0.485617243559693	-0.0103916587247141	0	0	0	0.994967767779526	0.994662172241382	0.999990570921884	0	0	0	73122	Tgfbrap1	chr1
98404	3.88493097537297	0.590979716576827	-0.135802036151297	-0.726781752728124	0	0	0	0.950329145311949	0.998801417388866	0.884540935238391	0	0	0	98404	AI597479	chr1
14200	5.52609008503082	1.54940305206841	1.8794014044289	0.32999835236049	1.63045164203903	2.60778019198382	0	0.0700145132515235	0.0150538148344979	0.966943809434855	0	0	0	14200	Fhl2	chr1
666642	3.99978177011366	0.28441748993126	0.0149257451955682	-0.269491744735692	0	0	0	0.999335679669312	0.999987780025809	0.999538633198489	0	0	0	666642	Gm8210	NA
17974	7.2788136557456	-0.569214016243528	-2.06577543685163	-1.4965614206081	0	-7.01825563208361	-3.51534962912579	0.99053742594521	4.43731744074192e-05	0.00367627689585369	0	-1	0	17974	Nck2	chr1
100861934	-1.56401868717667	-2.0637056868452	-1.91328784182827	0.15041784501693	-2.27247394681564	-1.97091939831636	0	0.0257121444160081	0.0414118414930779	0.976708168760841	0	0	0	100861934	NA	NA
